NSE,,BSE,NSE.SYMBOL,BSE.SYMBOL
20 Microns Limited,,ABB India Ltd,20MICRONS,500002
21st Century Management Services Limited,,Aegis Logistics Ltd,21STCENMGM,500003
360 ONE WAM LIMITED,,Amara Raja Energy & Mobility Ltd,360ONE,500008
3i Infotech Limited,,Ambalal Sarabhai Enterprises Ltd,3IINFOLTD,500009
3M India Limited,,Andhra Petrochemicals Ltd,3MINDIA,500012
3P Land Holdings Limited,,Ansal Properties & Infrastructure Ltd,3PLAND,500013
5Paisa Capital Limited,,Utique Enterprises Ltd,5PAISA,500014
63 moons technologies limited,,Aruna Hotels Ltd,63MOONS,500016
A2Z Infra Engineering Limited,,Bombay Dyeing & Manufacturing Company Ltd,A2ZINFRA,500020
AAA Technologies Limited,,Asian Hotels (North) Ltd,AAATECH,500023
Aadhar Housing Finance Limited,,Atul Ltd,AADHARHFC,500027
Aakash Exploration Services Limited,,ATV Projects India Ltd,AAKASH,500028
Aarey Drugs & Pharmaceuticals Limited,,Bajaj Electricals Ltd,AAREYDRUGS,500031
Aaron Industries Limited,,Bajaj Hindusthan Sugar Ltd,AARON,500032
Aartech Solonics Limited,,Force Motors Ltd,AARTECH,500033
Aarti Drugs Limited,,Bajaj Finance Ltd,AARTIDRUGS,500034
Aarti Industries Limited,,Balrampur Chini Mills Ltd,AARTIIND,500038
Aarti Pharmalabs Limited,,Banco Products (India) Ltd,AARTIPHARM,500039
Aarti Surfactants Limited,,Aditya Birla Real Estate Ltd,AARTISURF,500040
Aarvee Denims & Exports Limited,,Bannari Amman Sugars Ltd,AARVEEDEN,500041
Aarvi Encon Limited,,BASF India Ltd,AARVI,500042
Aavas Financiers Limited,,Bata India Ltd,AAVAS,500043
Aban Offshore Limited,,BEML Ltd,ABAN,500048
ABB India Limited,,Bharat Electronics Ltd,ABB,500049
Abbott India Limited,,Bhansali Engineering Polymers Ltd,ABBOTINDIA,500052
Aditya Birla Capital Limited,,Bihar Sponge Iron Ltd,ABCAPITAL,500058
Allied Blenders and Distillers Limited,,Binani Industries Ltd,ABDL,500059
Aditya Birla Fashion and Retail Limited,,Birla Cable Ltd,ABFRL,500060
A B Infrabuild Limited,,Blue Star Ltd,ABINFRA,500067
ABM International Limited,,Disa India Ltd,ABMINTLLTD,500068
Aditya Birla Real Estate Limited,,Quest Capital Markets Ltd,ABREL,500069
Aditya Birla Sun Life AMC Limited,,BPL Ltd,ABSLAMC,500074
ACC Limited,,Oriental Aromatics Ltd,ACC,500078
Accelya Solutions India Limited,,Century Extrusions Ltd,ACCELYA,500083
Accuracy Shipping Limited,,CESC Ltd,ACCURACY,500084
Action Construction Equipment Limited,,Chambal Fertilisers & Chemicals Ltd,ACE,500085
Ace Integrated Solutions Limited,,Exide Industries Ltd,ACEINTEG,500086
Archean Chemical Industries Limited,,Cipla Ltd,ACI,500087
Andhra Cements Limited,,DIC India Ltd,ACL,500089
Allcargo Gati Limited,,CRISIL Ltd,ACLGATI,500092
Acme Solar Holdings Limited,,CG Power and Industrial Solutions Ltd,ACMESOLAR,500093
Adani Energy Solutions Limited,,Dabur India Ltd,ADANIENSOL,500096
Adani Enterprises Limited,,Dalmia Bharat Sugar and Industries Ltd,ADANIENT,500097
Adani Green Energy Limited,,Arvind Ltd,ADANIGREEN,500101
Adani Ports and Special Economic Zone Limited,,Bharat Heavy Electricals Ltd,ADANIPORTS,500103
Adani Power Limited,,Hindustan Petroleum Corporation Ltd,ADANIPOWER,500104
ADF Foods Limited,,IFCI Ltd,ADFFOODS,500106
Archidply Decor Limited,,Mahanagar Telephone Nigam Ltd,ADL,500108
Ador Welding Limited,,Mangalore Refinery and Petrochemicals Ltd,ADOR,500109
Adroit Infotech Limited,,Chennai Petroleum Corporation Ltd,ADROITINFO,500110
